Dimension,FGC_Website_Abs_freq,FGC_Website_Rel_freq_wrt_all,FGC_Website_Rel_freq_within,FGC_Amazon_Abs_freq,FGC_Amazon_Rel_freq_wrt_all,FGC_Amazon_Rel_freq_within,UGC_YouTube_Abs_freq,UGC_YouTube_Rel_freq_wrt_all,UGC_YouTube_Rel_freq_within,UGC_Amazon_Abs_freq,UGC_Amazon_Rel_freq_wrt_all,UGC_Amazon_Rel_freq_within
Environmental,278,2.56%,59.28%,19,0.20%,21.11%,7,0.02%,15.91%,20,0.03%,8.55%
Social,69,0.63%,14.71%,30,0.31%,33.33%,17,0.05%,38.64%,31,0.04%,13.25%
Economic,18,0.17%,3.84%,30,0.31%,33.33%,20,0.06%,45.45%,181,0.25%,77.35%
Global,104,0.96%,22.17%,11,0.12%,12.22%,0,0.00%,0.00%,2,0.00%,0.85%
Total no. of keywords,469,4.31%,100.00%,90,0.94%,100.00%,44,0.14%,100.00%,234,0.33%,100.00%
Total no. of tokens,"10,870",100.00%,"","9,537",100.00%,"","31,814",100.00%,"","71,239",100.00%,""
